sep=,
Steam Sales data for Jack Michael Gilbride: 2000-01-01 - 2020-02-26

Date, Bundle(ID#),Bundle Name,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,CN,China,Asia,2,0,2,18.00,3.00,CNY,0.8483,0.0000,0.0000,0.8483,""
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DE,Germany,Western Europe,1,0,1,3.29,0.39,EUR,0.4324,0.0000,-0.0665,0.3659,""
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,GB,United Kingdom,Western Europe,1,0,1,2.89,0.39,GBP,0.5008,0.0000,-0.0899,0.4109,""
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,JP,Japan,Asia,2,0,2,410.00,50.00,JPY,0.9152,0.0000,-0.0915,0.8237,""
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,KR,Korea Republic of,Asia,2,0,2,4400.00,550.00,KRW,0.9387,0.0000,-0.0854,0.8533,""
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,PL,Poland,Eastern Europe,1,0,1,14.49,1.79,PLN,0.4649,0.0000,-0.0857,0.3792,""
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,RU,Russian Federation,Russia Ukraine & CIS,3,0,3,102.00,15.00,RUB,0.7057,0.0000,0.0000,0.7057,""
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,US,United States,North America,5,0,5,3.99,0.49,USD,2.5500,0.0000,-0.1000,2.4500,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,AU,Australia,Oceania,1,0,1,5.95,0.75,AUD,0.5140,0.0000,-0.0480,0.4660,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,BR,Brazil,Latin America,1,0,1,8.69,1.14,BRL,0.2854,0.0000,0.0000,0.2854,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,CN,China,Asia,1,0,1,18.00,3.00,CNY,0.4241,0.0000,0.0000,0.4241,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DE,Germany,Western Europe,3,0,3,3.29,0.39,EUR,1.2980,0.0000,-0.1997,1.0983,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,IT,Italy,Western Europe,1,0,1,3.29,0.39,EUR,0.4324,0.0000,-0.0776,0.3548,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,KR,Korea Republic of,Asia,2,0,2,4400.00,550.00,KRW,0.9454,0.0000,-0.0859,0.8595,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,PL,Poland,Eastern Europe,1,0,1,14.49,1.79,PLN,0.4600,0.0000,-0.0848,0.3752,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,RU,Russian Federation,Russia Ukraine & CIS,1,0,1,102.00,15.00,RUB,0.2344,0.0000,0.0000,0.2344,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,TR,Turkey,Middle East,1,0,1,8.20,1.05,TRY,0.1829,0.0000,-0.0279,0.1550,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,US,United States,North America,2,0,2,3.99,0.49,USD,1.0500,0.0000,-0.0700,0.9800,""
2019-10-30,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Linux,AT,Austria,Western Europe,1,0,1,3.29,0.39,EUR,0.4327,0.0000,-0.0777,0.3550,""
2019-10-31,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,BR,Brazil,Latin America,1,0,1,8.69,1.14,BRL,0.2854,0.0000,0.0000,0.2854,""
2019-10-31,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,CA,Canada,North America,2,0,2,4.65,0.59,CAD,0.8940,0.0000,0.0000,0.8940,""
2019-10-31,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,JP,Japan,Asia,2,0,2,410.00,50.00,JPY,0.9179,0.0000,-0.0918,0.8261,""
2019-10-31,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,US,United States,North America,2,0,2,3.99,0.49,USD,0.9800,0.0000,0.0000,0.9800,""
2019-11-01,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,CN,China,Asia,1,0,1,18.00,3.00,CNY,0.4257,0.0000,0.0000,0.4257,""
2019-11-01,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,TR,Turkey,Middle East,1,0,1,8.20,1.05,TRY,0.1836,0.0000,-0.0280,0.1556,""
2019-11-01,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,US,United States,North America,1,0,1,3.99,0.49,USD,0.5200,0.0000,-0.0300,0.4900,""
2019-11-11,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,PL,Poland,Eastern Europe,0,1,-1,14.49,1.79,PLN,0.0000,0.4600,0.0848,-0.3752,""
2019-11-27,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,CN,China,Asia,1,0,1,18.00,3.00,CNY,0.4259,0.0000,0.0000,0.4259,""
2019-11-27,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DE,Germany,Western Europe,1,0,1,3.29,0.65,EUR,0.7143,0.0000,-0.1099,0.6044,""
2019-11-27,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,JP,Japan,Asia,1,0,1,410.00,82.00,JPY,0.7496,0.0000,-0.0640,0.6856,""
2019-11-29,-1,Direct Package Sale,279673,"Cybrus",Retail,"Cybrus",Windows,US,United States,North America,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,"itch.io"
2019-12-19,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,US,United States,North America,1,0,1,3.99,0.79,USD,0.7900,0.0000,0.0000,0.7900,""
2019-12-20,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,CA,Canada,North America,1,0,1,4.65,0.93,CAD,0.7737,0.0000,-0.0683,0.7054,""
2019-12-21,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DK,Denmark,Western Europe,1,0,1,3.29,0.65,EUR,0.7200,0.0000,-0.1440,0.5760,""
2019-12-21,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,PT,Portugal,Western Europe,1,0,1,3.29,0.65,EUR,0.7201,0.0000,-0.1329,0.5872,""
2019-12-22,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DK,Denmark,Western Europe,2,0,2,3.29,0.65,EUR,1.4400,0.0000,-0.2880,1.1520,""
2019-12-23,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DK,Denmark,Western Europe,1,0,1,3.29,0.65,EUR,0.7200,0.0000,-0.1440,0.5760,""
2019-12-24,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DE,Germany,Western Europe,1,0,1,3.29,0.65,EUR,0.7198,0.0000,-0.1107,0.6091,""
2019-12-26,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,AR,Argentina,Latin America,1,0,1,53.99,10.79,ARS,0.1797,0.0000,0.0000,0.1797,""
2019-12-26,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,KR,Korea Republic of,Asia,1,0,1,4400.00,880.00,KRW,0.7600,0.0000,-0.0691,0.6909,""
2020-02-10,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,GB,United Kingdom,Western Europe,1,0,1,2.89,2.89,GBP,3.7400,0.0000,-0.6212,3.1188,""
